id,question,image,A,B,C,D,E,answer,explanation,topic,subtopic,difficulty_levels
1, Seorang anak laki laki berusia 6 tahun dibawa oleh ibunya ke dokter praktek pribadi karena belum bisa berjalan. Anak tersebut sudah mampu makan nasi dan lauk biasa. Komunikasi dua arah cukup baik dan pasien mampu berbicara jelas serta menjawab pertanyaan pemeriksa secara aktif. Pasien mampu duduk mandiri secara aktif. Pasien tidak pernah panas tinggi atau kejang. Pada pemeriksan fisik didapatkan kedua tangan dan kaki dapat bergerak namun kesulitan menggerakkan kaki karena merasa kaku dan seperti tertahan. Apakah disabilitas yang dialami pasien ini ? ,, Retardasi mental , Gangguan motorik halus , Gangguan mobilisasi. , Semua benar , Gangguan kognitif,C,Retardasi mental → salah karena komunikasi dua arah baik & respons aktif. Gangguan motorik halus → salah karena masalah utama pada berjalan (motorik kasar). Gangguan mobilisasi → tepat karena tidak bisa berjalan dengan spastisitas ekstremitas bawah. Semua benar → salah karena kognitif normal. Gangguan kognitif → tidak ada indikasi.,ikfr-uab, rehabilitasi serebral palsi,3
2, Seorang anak perempuan berusia 7 tahun dibawa oleh ibunya ke dokter praktek pribadi karena belum bisa berjalan. Anak tersebut sudah mampu makan nasi dan lauk biasa. Komunikasi dua arah cukup baik dan pasien mampu berbicara jelas serta menjawab pertanyaan pemeriksa secara aktif. Pasien mampu duduk mandiri secara aktif. Apakah anak tersebut dapat bersekolah? ,, Bisa di sekolah khusus , Bisa setelah anak sembuh , Tidak bisa , Belum tentu bisa , Bisa setelah anak mampu berjalan,A,"Sekolah khusus → tepat karena fungsi kognitif baik walau ada keterbatasan motorik. Setelah sembuh → tidak perlu menunggu pemulihan. Tidak bisa → salah karena kemampuan belajar ada. Belum tentu → terlalu ragu, secara klinis bisa. Setelah bisa berjalan → berjalan bukan syarat utama pendidikan.",ikfr-uab, rehabilitasi pada down syndrome dan pediatri kebutuhan khusus,2
3, Seorang anak laki laki berusia 5 tahun dibawa oleh ibunya ke dokter praktek pribadi karena belum bisa berjalan. Pasien mampu duduk mandiri dan berdiri secara aktif. Apakah ada kemungkinan saat ini anak dapat berjalan mandiri ? ,, Tidak bisa , Bisa dengan alat bantu , Belum tentu bisa , Bisa dengan pembedahan , Bisa dituntun,C,Tidak bisa → terlalu absolut. Bisa dengan alat bantu → mungkin tapi belum pasti saat ini. Belum tentu bisa → tepat karena sudah bisa berdiri (potensi ada) tapi tergantung etiologi & terapi. Dengan pembedahan → belum indikasi. Bisa dituntun → bisa dilakukan tapi tidak menjamin mandiri.,ikfr-uab, rehabilitasi serebral palsi,3
4, Seorang anak laki laki berusia 3 tahun dibawa oleh ibunya ke dokter praktek pribadi karena belum bisa berjalan. Pasien mampu duduk mandiri secara aktif. Pada pemeriksan fisik didapatkan kedua tangan dan kaki dapat bergerak namun kesulitan menggerakkan kaki karena merasa kaku dan seperti tertahan. Apakah Program rehabilitasi untuk menangani kasus tersebut ? ,, Inhibisi spastik , Latihan luas gerak sendi , Inhibisi spastik & Latihan penguatan otot , Latihan penguatan otot , Latihan luas gerak sendi & Inhibisi spastik,E,Inhibisi spastik → kurang karena tidak menjaga ROM. Latihan ROM → tidak cukup karena spastisitas belum dikontrol. Inhibisi + penguatan → penguatan belum prioritas awal. Penguatan saja → tidak tepat pada kondisi spastik. ROM + inhibisi spastik → kombinasi awal terbaik untuk turunkan tonus & cegah kontraktur.,ikfr-uab, rehabilitasi serebral palsi,3
5, Seorang laki laki berusia 31 tahun datang ke Puskesmas untuk kontrol setelah operasi tulang tibia kanan akibat kecelakaan 3 bulan yang lalu. Pasien datang dengan kursi roda didorong oleh keluarganya. Penyembuhan luka bekas operasi baik. Kaki kanan dan kedua tangan memiliki kekuatan rata rata 4. Setelah 2 minggu pasien datang kembali untuk kontrol. Program rehabilitasi yang dokter berikan saat ini adalah: ,, Latihan jalan dengan full weight bearing , Latihan jalan dengan parsial weight bearing , Latihan jalan dengan alat bantu & Latihan jalan dengan partial weight bearing , Latihan jalan dengan alat bantu , Latihan jalan dengan parsial weight bearing & Latihan jalan dengan full weight bearing,C,Full weight bearing → terlalu cepat untuk fase transisi. Partial weight bearing → benar tapi kurang tanpa alat bantu. Alat bantu + partial WB → paling tepat sebagai progresi rehabilitasi. Alat bantu saja → kurang progresif. Partial + full WB → terlalu agresif dalam satu tahap.,ikfr-uab, rehabilitasi fraktur,4
6," Seorang laki laki berusia 21 tahun datang ke Puskesmas untuk kontrol setelah operasi tulang paha kiri akibat jatuh dari motor 1 bulan yang lalu. Pasien datang dengan kursi roda didorong oleh keluarganya. Sejak pulang sesudah operasi pasien belum kontrol kembali ke rumah sakit. Pasien belum melatih kaki kiri sejak pulang dari RS. Pemeriksaan fisik didapatkan lutut pasien terasa kaku dan sulit digerakkan, tanpa disertai tanda inflamasi lokal. Penyembuhan luka bekas operasi baik. Kaki kanan dan kedua tangan memiliki kekuatan rata rata 4. Alat bantu jalan yang memungkinkan untuk digunakan oleh pasien ini adalah : ",, Kruk , Cane , Kruk & Cane , Walker & Kruk , Walker,E,Kruk → butuh koordinasi & kekuatan lebih. Cane → tidak cukup stabil untuk kondisi ini. Kruk & cane → tidak logis bersamaan. Walker & kruk → kruk terlalu advanced. Walker → memberikan stabilitas maksimal untuk pasien yang belum latihan dan ada kekakuan sendi (post immobilization).,ikfr-uab, rehabilitasi fraktur,4
7," Seorang perempuan berusia 18 tahun datang ke Puskesmas untuk kontrol setelah perawatan akibat luka bakar di pergelangan kaki kanan akibat terkena air panas 1 bulan yang lalu. Pasien datang dengan kursi roda didorong oleh keluarganya. Pasien belum melatih kaki kanan dan sejak pulang dari RS selalu menggunakan kursi roda untuk mobilitas. Pemeriksaan fisik didapatkan pergelangan kaki kanan pasien terasa kaku pada posisi netral dan sulit digerakkan, tanpa disertai tanda inflamasi lokal. Penyembuhan luka bakar tampak baik. Kaki kiri dan kedua tangan memiliki kekuatan rata rata 4. Apakah alat bantu jalan yang mungkin digunakan oleh pasien ini? ",, Kruk , Walker , Cane , Semua benar , Tanpa alat bantu,B,"Kruk → butuh koordinasi & keseimbangan lebih, kurang ideal untuk pasien yang belum latihan sama sekali. Walker → paling stabil dan aman untuk fase awal mobilisasi dengan kekakuan sendi. Cane → tidak cukup stabil karena hanya satu titik tumpu. Semua benar → tidak tepat karena pemilihan alat harus sesuai kondisi (tidak semua cocok). Tanpa alat bantu → tidak aman pada kondisi kaku & deconditioning.",ikfr-uab, rehabilitasi luka bakar,3
8," Seorang perempuan berusia 54 tahun datang ke Puskesmas dengan keluhan nyeri bahu kiri sejak 1 bulan yang lalu tanpa didahului trauma sebelumnya, Nyeri dirasakan sehari hari terutama saat beraktivitas seperti memasak dan mengepel. Kapan bahu pasien ini perlu imobilisasi? ",, Selama sendi tsb nyeri , Bila nyeri tidak berkurang dengan obat , Bila pasien beraktivitas , Bila terjadi nyeri berulang , Tidak perlu imobilisasi,E,"Selama sendi nyeri → imobilisasi terus justru memperburuk kekakuan. Bila nyeri tidak berkurang obat → tetap bukan indikasi utama imobilisasi. Saat beraktivitas → justru perlu mobilisasi terkontrol. Nyeri berulang → bukan indikasi imobilisasi penuh. Tidak perlu imobilisasi → tepat, kasus overuse kronis lebih butuh latihan & modifikasi aktivitas.",ikfr-uab, layanan dan modalitas kedokteran fisik dan rehabilitasi (general),3
9, Seorang laki laki berusia 58 tahun datang ke Klinik untuk kontrol setelah dirawat 2 bulan yang lalu di rumah sakit akibat sumbatan pada pembuluh darah jantungnya. Berapa batasan aktivitas tertinggi untuk pasien saat ini ? ,," 9-10 Mets : berat (lari ringan, naik tangga cepat) "," 3-4 Mets : ringan (jalan, mandi) "," 5-6 Mets : sedang (jalan cepat, sapu ringan) ", 1-2 Mets : sangat ringan (di bed) , 7-8 Mets : sedang ke berat,C,"9–10 METs → terlalu berat untuk post cardiac event 2 bulan. 3–4 METs → terlalu ringan untuk fase ini. 5–6 METs → batas aman aktivitas sedang pada fase pemulihan lanjut. 1–2 METs → hanya untuk fase akut. 7–8 METs → sudah masuk sedang-berat, relatif terlalu tinggi.",ikfr-uab, rehabilitasi kardiovaskuler,4
10," Seorang laki laki berusia 38 tahun datang ke Klinik untuk kontrol setelah dirawat 1 bulan yang lalu di rumah sakit akibat nyeri dada kiri mendadak. Untuk program Rehabilitasi kardiovaskuler, di fase apakah saat ini pasien berada ? ",, Fase 4 , Fase 3 , Fase 2 , Fase 1 , Fase 5,C,Fase 4 → maintenance jangka panjang. Fase 3 → supervised exercise lanjutan. Fase 2 → tepat untuk pasien 1 bulan pasca kejadian (awal rehabilitasi rawat jalan). Fase 1 → fase akut di RS. Fase 5 → tidak ada dalam klasifikasi standar.,ikfr-uab, rehabilitasi kardiovaskuler,4
